algorithm,algorithm_short,run_id,scope,concurrency,throughput_mean_hs_s,throughput_stdev_hs_s,p50_ms,p95_ms,p99_ms,p999_ms,max_latency_max_ms,failures_total,git_commit,kernel_release,os_release,python_version,source_file
Hybrid ML-KEM + FrodoKEM,frodo,2vm-hybrid-mlkem-frodo-20260530_024555,c1/c8/c32/c64,1,257.15,0.08660254037843074,3.8550730000679323,3.937763999965682,4.017822200013749,4.217258726698454,4.584988000033263,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-frodo/2vm-hybrid-mlkem-frodo-20260530_024555_full_frodo/hybrid_frodo_c1.json
Hybrid ML-KEM + FrodoKEM,frodo,2vm-hybrid-mlkem-frodo-20260530_024555,c1/c8/c32/c64,8,1847.8333333333335,5.96769078734254,4.2693560001225705,4.5125565499915865,4.678175923356018,5.201288737699777,14.03614800028663,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-frodo/2vm-hybrid-mlkem-frodo-20260530_024555_full_frodo/hybrid_frodo_c8.json
Hybrid ML-KEM + FrodoKEM,frodo,2vm-hybrid-mlkem-frodo-20260530_024555,c1/c8/c32/c64,32,1310.611111111111,10.492170802467353,22.671481000088534,43.902005800100596,55.56435381017613,70.42191182063246,110.38666900003591,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-frodo/2vm-hybrid-mlkem-frodo-20260530_024555_full_frodo/hybrid_frodo_c32.json
Hybrid ML-KEM + FrodoKEM,frodo,2vm-hybrid-mlkem-frodo-20260530_024555,c1/c8/c32/c64,64,1439.888888888889,2.268524565373698,40.46369199977562,89.82288800007154,116.90891631663811,150.98194224320312,263.9371969999047,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-frodo/2vm-hybrid-mlkem-frodo-20260530_024555_full_frodo/hybrid_frodo_c64.json
Hybrid ML-KEM + HQC-256,hqc,2vm-hybrid-mlkem-hqc-20260530_033828,c1/c8/c32/c64,1,34.516666666666666,0.04409585518440734,28.90893000039796,29.057998999815027,29.33224675682444,30.10408735759519,31.047268999827793,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-hqc/2vm-hybrid-mlkem-hqc-20260530_033828_full_hqc/hybrid_hqc_c1.json
Hybrid ML-KEM + HQC-256,hqc,2vm-hybrid-mlkem-hqc-20260530_033828,c1/c8/c32/c64,8,257.6166666666667,0.3617089069035285,30.964523999955418,31.131780949590393,31.353368679989824,33.20160283741241,50.958391000676784,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-hqc/2vm-hybrid-mlkem-hqc-20260530_033828_full_hqc/hybrid_hqc_c8.json
Hybrid ML-KEM + HQC-256,hqc,2vm-hybrid-mlkem-hqc-20260530_033828,c1/c8/c32/c64,32,256.25,0.13228756555322738,124.02936700073042,168.1721680006376,196.88587752674718,237.71857053803748,288.5098709994054,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-hqc/2vm-hybrid-mlkem-hqc-20260530_033828_full_hqc/hybrid_hqc_c32.json
Hybrid ML-KEM + HQC-256,hqc,2vm-hybrid-mlkem-hqc-20260530_033828,c1/c8/c32/c64,64,256.6722222222222,0.12285191326384094,243.84258300005968,365.4124734500328,437.9001474466925,535.8152182928874,773.2412830000612,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-hqc/2vm-hybrid-mlkem-hqc-20260530_033828_full_hqc/hybrid_hqc_c64.json
Classic McEliece 460896,mceliece,2vm-classic-mceliece-20260530_042759,c1/c8 cautious baseline,1,15.65,0.060092521257733435,56.55920800018066,95.55835599967395,123.19026886324839,151.45089210384597,169.56349999964004,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mceliece/2vm-classic-mceliece-20260530_042759_full_mceliece/classic_mceliece_c1.json
Classic McEliece 460896,mceliece,2vm-classic-mceliece-20260530_042759,c1/c8 cautious baseline,8,114.56111111111112,0.38381612109813046,66.54817349999576,107.86047950000463,134.2600073002846,174.4541589955423,238.87814600038837,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mceliece/2vm-classic-mceliece-20260530_042759_full_mceliece/classic_mceliece_c8.json
ML-KEM-768,mlkem,2vm-algorithm-baseline-20260526_054841,c1/c8/c32/c64/c128,1,24909.06111111111,58.552389488515345,0.03012100023624953,0.04707999960373854,0.05359966659549779,0.061787502119235206,0.5180150001251604,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mlkem/2vm-algorithm-baseline-20260526_054841_full_mlkem/mlkem_c1.json
ML-KEM-768,mlkem,2vm-algorithm-baseline-20260526_054841,c1/c8/c32/c64/c128,8,13166.705555555556,14.513713183412008,0.506012999721861,1.1745622502985498,1.5753183497054122,2.1035834931356945,4.049182999551704,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mlkem/2vm-algorithm-baseline-20260526_054841_full_mlkem/mlkem_c8.json
ML-KEM-768,mlkem,2vm-algorithm-baseline-20260526_054841,c1/c8/c32/c64/c128,32,11678.377777777778,22.970163820180204,2.3008489997664583,6.107851800334174,8.34812792660161,11.307550851074218,21.030881999649864,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mlkem/2vm-algorithm-baseline-20260526_054841_full_mlkem/mlkem_c32.json
ML-KEM-768,mlkem,2vm-algorithm-baseline-20260526_054841,c1/c8/c32/c64/c128,64,11613.433333333332,34.311671969365555,4.5417715000439784,12.406329000623373,17.128538546685363,23.189155113266693,41.22921799989854,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mlkem/2vm-algorithm-baseline-20260526_054841_full_mlkem/mlkem_c64.json
ML-KEM-768,mlkem,2vm-algorithm-baseline-20260526_054841,c1/c8/c32/c64/c128,128,11242.077777777778,22.354948080988986,10.559111000020494,24.860464550283723,33.35621028311228,44.97731259006002,86.90529399973457,0,add3845,7.0.9-105.fc43.x86_64,Ubuntu 24.04.4 LTS,3.11.14,raw/server-full-mlkem/2vm-algorithm-baseline-20260526_054841_full_mlkem/mlkem_c128.json
