ts,role,host,load1,load5,load15,mem_available_kb,established,time_wait,syn_recv,listen,curl_count,haproxy_count,backend_count,haproxy_fd
2026-06-22T10:53:18+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.08,0.08,15596336,0,0,0,8,0,1,0,30
2026-06-22T10:53:19+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.08,0.08,15595836,0,0,0,8,0,1,0,30
2026-06-22T10:53:20+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15595592,0,0,0,8,0,1,0,30
2026-06-22T10:53:22+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15594848,0,0,0,8,0,1,0,30
2026-06-22T10:53:23+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15594356,0,0,0,8,0,1,0,30
2026-06-22T10:53:24+03:00,GATEWAY,pqc-fedora-vm-baseline,0.08,0.07,0.08,15594560,0,0,0,8,0,1,0,30
2026-06-22T10:53:25+03:00,GATEWAY,pqc-fedora-vm-baseline,0.07,0.07,0.08,15595020,0,0,0,8,0,1,0,30
2026-06-22T10:53:26+03:00,GATEWAY,pqc-fedora-vm-baseline,0.07,0.07,0.08,15595020,0,0,0,8,0,1,0,30
2026-06-22T10:53:27+03:00,GATEWAY,pqc-fedora-vm-baseline,0.07,0.07,0.08,15595272,0,0,0,8,0,1,0,30
2026-06-22T10:53:28+03:00,GATEWAY,pqc-fedora-vm-baseline,0.07,0.07,0.08,15594792,0,0,0,8,0,1,0,30
2026-06-22T10:53:29+03:00,GATEWAY,pqc-fedora-vm-baseline,0.07,0.07,0.08,15594716,0,0,0,8,0,1,0,30
2026-06-22T10:53:30+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15595252,0,0,0,8,0,1,0,30
2026-06-22T10:53:31+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15596320,0,0,0,8,0,1,0,30
2026-06-22T10:53:32+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15596080,0,0,0,8,0,1,0,30
2026-06-22T10:53:33+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15595840,0,0,0,8,0,1,0,30
2026-06-22T10:53:34+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15595588,0,0,0,8,0,1,0,30
2026-06-22T10:53:35+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15595348,0,0,0,8,0,1,0,30
2026-06-22T10:53:36+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15595500,0,0,0,8,0,1,0,30
2026-06-22T10:53:37+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15596016,0,0,0,8,0,1,0,30
2026-06-22T10:53:38+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15596532,0,0,0,8,0,1,0,30
2026-06-22T10:53:39+03:00,GATEWAY,pqc-fedora-vm-baseline,0.06,0.07,0.08,15597036,39,17,0,8,0,1,0,73
2026-06-22T10:53:40+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.09,0.09,15595740,38,38,0,8,0,1,0,71
2026-06-22T10:53:41+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.09,0.09,15596360,48,59,0,8,0,1,0,76
2026-06-22T10:53:42+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.09,0.09,15596784,44,81,0,8,0,1,0,63
2026-06-22T10:53:44+03:00,GATEWAY,pqc-fedora-vm-baseline,0.13,0.09,0.09,15597132,35,108,1,8,0,1,0,79
2026-06-22T10:53:45+03:00,GATEWAY,pqc-fedora-vm-baseline,0.12,0.08,0.09,15597332,29,120,0,8,0,1,0,64
2026-06-22T10:53:46+03:00,GATEWAY,pqc-fedora-vm-baseline,0.12,0.08,0.09,15597400,39,142,0,8,0,1,0,66
2026-06-22T10:53:47+03:00,GATEWAY,pqc-fedora-vm-baseline,0.12,0.08,0.09,15597720,40,150,0,8,0,1,0,90
2026-06-22T10:53:48+03:00,GATEWAY,pqc-fedora-vm-baseline,0.12,0.08,0.09,15596656,63,158,0,8,0,1,0,70
2026-06-22T10:53:49+03:00,GATEWAY,pqc-fedora-vm-baseline,0.12,0.08,0.09,15596228,42,166,0,8,0,1,0,94
2026-06-22T10:53:50+03:00,GATEWAY,pqc-fedora-vm-baseline,0.11,0.08,0.09,15596424,52,176,0,8,0,1,0,104
2026-06-22T10:53:51+03:00,GATEWAY,pqc-fedora-vm-baseline,0.11,0.08,0.09,15596044,56,182,0,8,0,1,0,84
2026-06-22T10:53:52+03:00,GATEWAY,pqc-fedora-vm-baseline,0.11,0.08,0.09,15595956,48,193,0,8,0,1,0,81
2026-06-22T10:53:53+03:00,GATEWAY,pqc-fedora-vm-baseline,0.11,0.08,0.09,15594456,74,202,0,8,0,1,0,146
2026-06-22T10:53:54+03:00,GATEWAY,pqc-fedora-vm-baseline,0.11,0.08,0.09,15593816,110,215,0,8,0,1,0,162
2026-06-22T10:53:55+03:00,GATEWAY,pqc-fedora-vm-baseline,0.18,0.10,0.09,15593716,122,227,0,8,0,1,0,158
2026-06-22T10:53:56+03:00,GATEWAY,pqc-fedora-vm-baseline,0.18,0.10,0.09,15592640,144,238,0,8,0,1,0,167
2026-06-22T10:53:57+03:00,GATEWAY,pqc-fedora-vm-baseline,0.18,0.10,0.09,15591120,116,258,0,8,0,1,0,152
2026-06-22T10:53:58+03:00,GATEWAY,pqc-fedora-vm-baseline,0.18,0.10,0.09,15590068,120,273,0,8,0,1,0,144
2026-06-22T10:53:59+03:00,GATEWAY,pqc-fedora-vm-baseline,0.18,0.10,0.09,15588756,123,283,0,8,0,1,0,147
2026-06-22T10:54:00+03:00,GATEWAY,pqc-fedora-vm-baseline,0.41,0.15,0.11,15589396,0,299,0,8,0,1,0,30
2026-06-22T10:54:01+03:00,GATEWAY,pqc-fedora-vm-baseline,0.41,0.15,0.11,15588616,0,299,0,8,0,1,0,30
2026-06-22T10:54:02+03:00,GATEWAY,pqc-fedora-vm-baseline,0.41,0.15,0.11,15589092,0,299,0,8,0,1,0,30
2026-06-22T10:54:03+03:00,GATEWAY,pqc-fedora-vm-baseline,0.41,0.15,0.11,15589604,0,299,0,8,0,1,0,30
2026-06-22T10:54:04+03:00,GATEWAY,pqc-fedora-vm-baseline,0.41,0.15,0.11,15589996,0,299,0,8,0,1,0,30
2026-06-22T10:54:05+03:00,GATEWAY,pqc-fedora-vm-baseline,0.38,0.14,0.11,15589720,0,299,0,8,0,1,0,30
2026-06-22T10:54:07+03:00,GATEWAY,pqc-fedora-vm-baseline,0.38,0.14,0.11,15590152,0,299,0,8,0,1,0,30
2026-06-22T10:54:08+03:00,GATEWAY,pqc-fedora-vm-baseline,0.38,0.14,0.11,15589192,0,299,0,8,0,1,0,30
2026-06-22T10:54:09+03:00,GATEWAY,pqc-fedora-vm-baseline,0.38,0.14,0.11,15589708,0,299,0,8,0,1,0,30
2026-06-22T10:54:10+03:00,GATEWAY,pqc-fedora-vm-baseline,0.35,0.14,0.10,15590096,0,299,0,8,0,1,0,30
2026-06-22T10:54:11+03:00,GATEWAY,pqc-fedora-vm-baseline,0.35,0.14,0.10,15589824,0,299,0,8,0,1,0,30
2026-06-22T10:54:12+03:00,GATEWAY,pqc-fedora-vm-baseline,0.35,0.14,0.10,15590424,0,299,0,8,0,1,0,30
2026-06-22T10:54:13+03:00,GATEWAY,pqc-fedora-vm-baseline,0.35,0.14,0.10,15589844,0,299,0,8,0,1,0,30
2026-06-22T10:54:14+03:00,GATEWAY,pqc-fedora-vm-baseline,0.35,0.14,0.10,15589876,0,299,0,8,0,1,0,30
2026-06-22T10:54:15+03:00,GATEWAY,pqc-fedora-vm-baseline,0.32,0.14,0.10,15589120,0,299,0,8,0,1,0,30
2026-06-22T10:54:16+03:00,GATEWAY,pqc-fedora-vm-baseline,0.32,0.14,0.10,15589196,0,299,0,8,0,1,0,30
2026-06-22T10:54:17+03:00,GATEWAY,pqc-fedora-vm-baseline,0.32,0.14,0.10,15588952,0,299,0,8,0,1,0,30
2026-06-22T10:54:18+03:00,GATEWAY,pqc-fedora-vm-baseline,0.32,0.14,0.10,15588172,0,299,0,8,0,1,0,30
2026-06-22T10:54:19+03:00,GATEWAY,pqc-fedora-vm-baseline,0.32,0.14,0.10,15587672,0,299,0,8,0,1,0,30
2026-06-22T10:54:20+03:00,GATEWAY,pqc-fedora-vm-baseline,0.29,0.14,0.10,15586720,0,299,0,8,0,1,0,30
2026-06-22T10:54:21+03:00,GATEWAY,pqc-fedora-vm-baseline,0.29,0.14,0.10,15587032,0,299,0,8,0,1,0,30
2026-06-22T10:54:22+03:00,GATEWAY,pqc-fedora-vm-baseline,0.29,0.14,0.10,15587324,0,299,0,8,0,1,0,30
2026-06-22T10:54:23+03:00,GATEWAY,pqc-fedora-vm-baseline,0.29,0.14,0.10,15587536,0,299,0,8,0,1,0,30
2026-06-22T10:54:24+03:00,GATEWAY,pqc-fedora-vm-baseline,0.29,0.14,0.10,15587320,0,299,0,8,0,1,0,30
